"Business turnover indicator, change in turnover, seasonally adjusted"
,"June 2022 to July 2022 (%)","July 2021 to July 2022 (%)"
"Electricity, gas, water and waste services","5.0","44.8"
"Accommodation and food services","3.7","51.7"
"Retail trade","2.9","21.9"
"Wholesale trade","2.2","14.5"
"Administrative and support services","0.9","24.0"
"Professional, scientific and technical services","0.7","11.3"
"Transport, postal and warehousing","-1.1","37.8"
"Arts and recreation services","-2.3","13.3"
"Construction","-2.5","4.5"
"Information media and telecommunications","-3.0","16.4"
"Manufacturing","-3.8","17.0"
"Other services","-6.1","2.4"
"Mining","-10.1","22.9"

"Source: Australian Bureau of Statistics, Monthly Business Turnover Indicator July 2022",,
